Model,MAE,RMSE,MAPE
GRU,36.94229524031929,49.30641566483616,3.6855617028389647
LSTM,36.28202753481657,49.52532988779631,3.6739965820911746
AR(2),65.41370144891971,73.43549521827444,6.271582508303046
"SARIMA(1, 1, 1)x(1, 1, 1, 12)",77.0347987998389,87.22819931073592,7.323297488226873
Transformer,113.42996879245923,124.06888672174686,10.493631407871828
Seasonal Naive,163.43478260869566,178.17712242743661,15.531503974739378
Naive,163.91304347826087,186.37479769912912,15.012016117642785
"ARIMA(1,1,1)",174.54636985877391,197.94711652796764,15.962378000752835
Random Forest,194.37999999999994,218.172072745544,17.78038895481729
"ARMA(2,1)",199.08091732287812,226.80828497229427,18.176315599648106
Moving Average (12),233.5108695652174,259.3869811271585,21.371256802816504
HistGradientBoosting (XGB fallback),268.3106020141464,295.82996966863305,24.645496403436844
MA(1),608.715245612102,622.0690397359431,57.68666155229043
